NETWORK ID     NAME                                        DRIVER    SCOPE
a448daa006b2   audiobookshelf_default                      bridge    local
d6d6cd24593a   augment-mcp-tool_default                    bridge    local
ba624668fe20   bookstack-mcp_default                       bridge    local
af67eb3edf5a   bookstackgraphiti_bookstack-graphiti        bridge    local
e6dda2cec5e7   bridge                                      bridge    local
8a2bad2437e6   claude-code-network                         bridge    local
303f44989b3a   crawl4ai-mco_default                        bridge    local
c12c16d93c76   dockge_default                              bridge    local
7a5e670e9773   fastmcp-cms-server_mcp-network              bridge    local
d2e87fbe4bf9   ghost-mcp_default                           bridge    local
276b803e9ec9   googlekeepmcp_default                       bridge    local
cf1d8ba0da96   graphiti_graphiti_network                   bridge    local
be3dd1137cc6   haystackproxy_hayhooks_network              bridge    local
0762d60570a5   host                                        host      local
49ee4da3acee   huly-vibe-sync_default                      bridge    local
a4c28861d0c7   huly_default                                bridge    local
2b6c62080c23   jobspy_default                              bridge    local
66cb7d6b6b74   komodo-mcp_komodo-network                   bridge    local
456f0a5fc588   letta-mcp-server_letta-network              bridge    local
89a439326702   letta-network                               bridge    local
9698200ee820   letta-proxy_letta-net                       bridge    local
32c2104352de   letta_letta-network                         bridge    local
f1d86b41c510   lettatoolsselector_letta-tools              bridge    local
335c3faef8ae   matrix-synapse-deployment_matrix-internal   bridge    local
62e7fff5e7a3   mautrix-gmessages_gmessages-net             bridge    local
9bbd1847a2e8   mcp-filesystem-network                      bridge    local
e61c50e53c3f   metamcp_metamcp-network                     bridge    local
72844c60a8b3   none                                        null      local
0f79c2f69b51   personal-site_portfolio-network             bridge    local
3305769b6189   photoprism-mcp_photoprism-mcp               bridge    local
46e44e150700   postiz-mcp_default                          bridge    local
8b6068260d4f   resume-mcp_default                          bridge    local
93a7f742fb71   resume_default                              bridge    local
de998306bb43   searxng_network                             bridge    local
cca21413e156   sure-finance_sure_net                       bridge    local
8aa7ab63ba20   surefinance-mcp-server_default              bridge    local
