ce1dc1548e1c	graphiti-init	alpine:latest	Up 29 seconds	
0462f41a18b6	graphiti-graphiti-sync-rs-1	rust-sync-poc-rust-sync:latest	Up 31 seconds	0.0.0.0:18080->8080/tcp, :::18080->8080/tcp, 0.0.0.0:18081->8081/tcp, :::18081->8081/tcp
100cef7f4ace	graphiti-falkordb-1	falkordb/falkordb:latest	Up About a minute (healthy)	0.0.0.0:6379->6379/tcp, :::6379->6379/tcp
9c832d2f5287	graphiti-neo4j-1	neo4j:5.26.2	Up About a minute (healthy)	0.0.0.0:7474->7474/tcp, :::7474->7474/tcp, 7473/tcp, 0.0.0.0:7687->7687/tcp, :::7687->7687/tcp
45d6525b1f63	graphiti-graphiti-mcp-1	ghcr.io/oculairmedia/graphiti-mcp:feature-chutes-ai-integration	Up 26 minutes	0.0.0.0:3010->3010/tcp, :::3010->3010/tcp, 8000/tcp
4e95ffea7c83	graphiti-nginx-1	nginx:alpine	Up 26 minutes (healthy)	0.0.0.0:8088->80/tcp, :::8088->80/tcp, 0.0.0.0:8443->443/tcp, :::8443->443/tcp
c8e6fadba830	graphiti-frontend-1	ghcr.io/oculairmedia/graphiti-frontend:feature-chutes-ai-integration	Up 26 minutes (healthy)	0.0.0.0:8085->80/tcp, :::8085->80/tcp
f408d26bf326	graphiti-graph-1	ghcr.io/oculairmedia/graphiti-api:feature-chutes-ai-integration	Up 26 minutes (healthy)	0.0.0.0:8003->8000/tcp, :::8003->8000/tcp
b399c1e74167	graphiti-graph-visualizer-rust-1	graphiti-rust-visualizer:incremental-updates	Up 26 minutes (healthy)	0.0.0.0:3000->3000/tcp, :::3000->3000/tcp
845f543a2672	graphiti-graphiti-search-rs-1	ghcr.io/oculairmedia/graphiti-search-rs:feature-chutes-ai-integration	Up 27 minutes (healthy)	0.0.0.0:3004->3004/tcp, :::3004->3004/tcp
1d39976af59c	graphiti-redis-exporter	oliver006/redis_exporter:latest	Up 27 minutes	0.0.0.0:9121->9121/tcp, :::9121->9121/tcp
bc0a8f18ac17	graphiti-graphiti-centrality-rs-1	ghcr.io/oculairmedia/graphiti-centrality-rs:feature-chutes-ai-integration	Up 27 minutes (healthy)	0.0.0.0:3003->3003/tcp, :::3003->3003/tcp
8a2b588b25a5	graphiti-grafana	grafana/grafana:latest	Up 27 minutes	0.0.0.0:3011->3000/tcp, :::3011->3000/tcp
baa122c83992	graphiti-prometheus	prom/prometheus:latest	Up 27 minutes	0.0.0.0:9090->9090/tcp, :::9090->9090/tcp
66c6f8620380	graphiti-graphiti-queued-1	ghcr.io/oculairmedia/graphiti-queued:main	Up 27 minutes (healthy)	0.0.0.0:8093->8080/tcp, :::8093->8080/tcp
6ba23329a269	letta-proxy-letta-poller-1	ghcr.io/oculairmedia/letta-context-poller:latest	Up 2 hours	
a0dcad065c17	letta-proxy-proxy-1	ghcr.io/oculairmedia/letta-webhook-proxy:latest	Up 2 hours	0.0.0.0:8289->8283/tcp, :::8289->8283/tcp
58521c2a5c6a	postiz-mcp-postizmcp-1	ghcr.io/oculairmedia/postizz-mcp:latest	Up 3 hours (healthy)	0.0.0.0:3084->3084/tcp, :::3084->3084/tcp
218e56e0ff67	portfolio-payload	personal-site-payload	Up 3 hours (healthy)	0.0.0.0:3006->3001/tcp, :::3006->3001/tcp
2a3f822d67b9	portfolio-nginx	nginx:alpine	Up 3 hours	0.0.0.0:80->80/tcp, :::80->80/tcp, 0.0.0.0:443->443/tcp, :::443->443/tcp
