DRIVER    VOLUME NAME
local     9cadc1b4d24acfce014147041f9e99b56e7360b1d70135eb42c68f29c9816e9b
local     20b6397c8f1851e8b1500056db96a56025ea5833da6ac41735e2387e980d0656
local     67e8a0967426f68b9286c2a54c727fea9893315cf43941d89a48aef13d0ce86a
local     120bc31532b7b3e9fb2cadfa08475c73574a0f058155e086fa378374aa894a1f
local     846924b3e67f0ef93827b058f286f0e20f6a33ee01f837eda0954808112b7dad
local     bookstackgraphiti_cache-data
local     bookstackgraphiti_log-data
local     c531a47ceef52bf9ba27fffdde7398b8faa932f35ca0c66e48ed33125649bdf9
local     cbde64d99252eaeb81169211c504a33bcef8e0d6b9846034dea1f90cd320e6f9
local     cc3fafa6b86c2df6a624155645d46dad0204395ccdb0276be2c6842973f542d7
local     cdf03d7f6ce37d78aac2a59a6788fa1d2d15d833ed4702ef2c236ae06f48ffa7
local     claude-code-ui-config
local     claude-code-ui-modules
local     docling_docling_models
local     e4232d28a5801d836ba0e866d8cfab5b067a7d953aa42858acf0aa375da58113
local     f7d8ab3b962234f59e63557e01e5a3ae8b9c7fce723fa5c09744af0b4c9ee637
local     graphiti_grafana_data
local     graphiti_init_ready_marker
local     graphiti_neo4j_data
local     graphiti_nginx_logs
local     graphiti_prometheus_data
local     graphiti_queued_data
local     graphiti_sync_metadata
local     graphiti_visualizer_duckdb
local     huly_db
local     huly_elastic
local     huly_files
local     implement-payload-cms-011cuxhkcjaiefdu2xtfqkcp_mongodb_config
local     implement-payload-cms-011cuxhkcjaiefdu2xtfqkcp_mongodb_data
local     implement-payload-cms-011cuxhkcjaiefdu2xtfqkcp_nginx_ssl
local     implement-payload-cms-011cuxhkcjaiefdu2xtfqkcp_payload_media
local     letta-opencode-plugin_opencode-workspaces
local     letta-proxy_letta-polling-state
local     letta_pgdata
local     lettatoolsselector_tool_cache_volume
local     lettatoolsselector_weaviate_data
local     mautrix-meta_postgres_data
local     metamcp_postgres_data
local     personal-site_mongodb_config
local     personal-site_mongodb_data
local     personal-site_nginx_ssl
local     personal-site_payload_media
local     resume_minio_data
local     resume_postgres_data
local     rust-sync-poc_sync_metadata
local     searxng_caddy_config
local     searxng_caddy_data
local     searxng_valkey-data2
local     source_letta-polling-state
local     sure-finance_app-storage
local     sure-finance_postgres-data
local     sure-finance_redis-data
local     vibe-kanban_vibe-data
